

软件版本	3.11.19



实验文件路径:	C:\Users\inlab\Desktop\AuNSs400-800.xpt
方案文件路径:	



板编号	板 7
日期	2023/7/18
时间	19:00:07
检测仪类型:	Epoch 2
检测仪序列号:	2205170B
检测类型	检测仪

程序详细信息

板类型	96 WELL PLATE
完成后弹出板	
检测	吸收光 光谱
	A1..A6
	开始: 400 nm,  停止: 800 nm,  步骤: 1 nm
	检测前校准
	检测速度: 正常,  延迟: 100 msec,  测量值/数据点: 8

Spectrum

波长	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
595	0.426	0.386	0.353	0.283	0.319	0.168																																																																																										
596	0.418	0.381	0.347	0.279	0.315	0.168																																																																																										
597	0.412	0.375	0.343	0.276	0.312	0.168																																																																																										
598	0.406	0.369	0.338	0.272	0.309	0.168																																																																																										
599	0.400	0.364	0.333	0.269	0.305	0.168																																																																																										
600	0.393	0.358	0.327	0.265	0.301	0.167																																																																																										
601	0.386	0.352	0.322	0.261	0.297	0.167																																																																																										
602	0.380	0.346	0.317	0.257	0.294	0.167																																																																																										
603	0.374	0.341	0.312	0.254	0.291	0.167																																																																																										
604	0.369	0.336	0.308	0.251	0.288	0.167																																																																																										
605	0.364	0.332	0.304	0.248	0.285	0.167																																																																																										
606	0.358	0.328	0.300	0.245	0.282	0.167																																																																																										
607	0.353	0.324	0.297	0.243	0.280	0.167																																																																																										
608	0.349	0.319	0.292	0.240	0.277	0.167																																																																																										
609	0.344	0.314	0.289	0.237	0.274	0.167																																																																																										
610	0.339	0.310	0.285	0.234	0.272	0.167																																																																																										
611	0.334	0.306	0.281	0.232	0.269	0.167																																																																																										
612	0.330	0.302	0.278	0.229	0.267	0.167																																																																																										
613	0.326	0.298	0.275	0.226	0.264	0.167																																																																																										
614	0.321	0.295	0.271	0.224	0.262	0.166																																																																																										
615	0.317	0.291	0.267	0.221	0.259	0.166																																																																																										
616	0.313	0.287	0.264	0.218	0.257	0.166																																																																																										
617	0.308	0.283	0.261	0.216	0.255	0.166																																																																																										
618	0.305	0.280	0.258	0.214	0.253	0.166																																																																																										
619	0.301	0.277	0.255	0.212	0.251	0.166																																																																																										
620	0.296	0.273	0.252	0.209	0.248	0.166																																																																																										
621	0.292	0.269	0.248	0.207	0.246	0.166																																																																																										
622	0.288	0.266	0.245	0.205	0.244	0.165																																																																																										
623	0.285	0.263	0.243	0.203	0.242	0.165																																																																																										
624	0.282	0.260	0.240	0.201	0.240	0.165																																																																																										
625	0.278	0.257	0.237	0.199	0.239	0.165																																																																																										
626	0.276	0.254	0.235	0.197	0.237	0.165																																																																																										
627	0.272	0.252	0.232	0.195	0.235	0.164																																																																																										
628	0.269	0.249	0.231	0.194	0.234	0.164																																																																																										
629	0.266	0.247	0.228	0.192	0.232	0.164																																																																																										
630	0.264	0.244	0.226	0.190	0.231	0.164																																																																																										
631	0.260	0.241	0.223	0.188	0.229	0.164																																																																																										
632	0.258	0.239	0.221	0.186	0.228	0.163																																																																																										
633	0.255	0.236	0.219	0.185	0.226	0.163																																																																																										
634	0.253	0.234	0.217	0.183	0.225	0.163																																																																																										
635	0.250	0.232	0.215	0.182	0.223	0.163																																																																																										
636	0.247	0.229	0.213	0.180	0.222	0.163																																																																																										
637	0.245	0.227	0.211	0.179	0.221	0.163																																																																																										
638	0.242	0.225	0.209	0.177	0.219	0.163																																																																																										
639	0.240	0.223	0.207	0.176	0.218	0.162																																																																																										
640	0.237	0.221	0.205	0.174	0.216	0.162																																																																																										
641	0.235	0.219	0.203	0.173	0.215	0.162																																																																																										
642	0.233	0.217	0.201	0.172	0.214	0.162																																																																																										
643	0.231	0.215	0.200	0.170	0.212	0.161																																																																																										
644	0.228	0.212	0.198	0.169	0.211	0.161																																																																																										
645	0.226	0.211	0.196	0.168	0.210	0.161																																																																																										
646	0.224	0.209	0.195	0.166	0.209	0.161																																																																																										
647	0.222	0.207	0.193	0.165	0.207	0.160																																																																																										
648	0.220	0.205	0.191	0.164	0.206	0.160																																																																																										
649	0.219	0.203	0.190	0.162	0.205	0.160																																																																																										
650	0.217	0.202	0.188	0.161	0.204	0.160																																																																																										
651	0.215	0.200	0.187	0.160	0.203	0.159																																																																																										
652	0.213	0.198	0.185	0.159	0.202	0.159																																																																																										
653	0.211	0.197	0.184	0.158	0.201	0.159																																																																																										
654	0.209	0.195	0.183	0.157	0.200	0.159																																																																																										
655	0.208	0.193	0.181	0.156	0.199	0.159																																																																																										
656	0.206	0.192	0.180	0.155	0.198	0.158																																																																																										
657	0.205	0.190	0.179	0.154	0.197	0.158																																																																																										
658	0.204	0.189	0.178	0.153	0.196	0.158																																																																																										
659	0.202	0.188	0.177	0.152	0.196	0.158																																																																																										
660	0.200	0.186	0.175	0.151	0.195	0.158																																																																																										
661	0.198	0.185	0.174	0.150	0.194	0.157																																																																																										
662	0.196	0.183	0.173	0.149	0.193	0.157																																																																																										
663	0.195	0.182	0.172	0.148	0.192	0.157																																																																																										
664	0.193	0.180	0.170	0.147	0.191	0.156																																																																																										
665	0.192	0.179	0.170	0.146	0.191	0.156																																																																																										
666	0.191	0.178	0.169	0.145	0.190	0.156																																																																																										
667	0.190	0.177	0.167	0.144	0.189	0.156																																																																																										
668	0.188	0.175	0.166	0.143	0.188	0.156																																																																																										
669	0.187	0.174	0.165	0.142	0.187	0.155																																																																																										
670	0.185	0.173	0.164	0.142	0.187	0.155																																																																																										
671	0.185	0.172	0.163	0.141	0.186	0.155																																																																																										
672	0.183	0.171	0.162	0.140	0.185	0.155																																																																																										
673	0.182	0.169	0.161	0.139	0.184	0.155																																																																																										
674	0.181	0.168	0.160	0.138	0.183	0.154																																																																																										
