

软件版本	3.11.19



实验文件路径:	C:\Users\inlab\Desktop\AuNSs400-800.xpt
方案文件路径:	



板编号	板 3
日期	2023/6/29
时间	9:22:19
检测仪类型:	Epoch 2
检测仪序列号:	2205170B
检测类型	检测仪

程序详细信息

板类型	96 WELL PLATE
完成后弹出板	
检测	吸收光 光谱
	A1..A6
	开始: 400 nm,  停止: 800 nm,  步骤: 1 nm
	检测前校准
	检测速度: 正常,  延迟: 100 msec,  测量值/数据点: 8

Spectrum

波长	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
532	2.077	1.911	1.972	0.887	1.224	0.153																																																																																										
533	2.093	1.924	1.988	0.890	1.227	0.153																																																																																										
534	2.106	1.933	2.000	0.892	1.229	0.154																																																																																										
535	2.117	1.941	2.010	0.893	1.230	0.154																																																																																										
536	2.125	1.946	2.018	0.893	1.230	0.154																																																																																										
537	2.132	1.949	2.025	0.893	1.229	0.155																																																																																										
538	2.135	1.950	2.029	0.892	1.227	0.155																																																																																										
539	2.138	1.948	2.030	0.891	1.224	0.155																																																																																										
540	2.136	1.944	2.030	0.888	1.219	0.156																																																																																										
541	2.134	1.938	2.028	0.886	1.215	0.156																																																																																										
542	2.128	1.931	2.023	0.883	1.210	0.156																																																																																										
543	2.122	1.922	2.018	0.880	1.205	0.157																																																																																										
544	2.113	1.909	2.009	0.876	1.198	0.157																																																																																										
545	2.100	1.894	1.997	0.871	1.190	0.157																																																																																										
546	2.086	1.876	1.984	0.866	1.182	0.157																																																																																										
547	2.071	1.859	1.970	0.860	1.173	0.158																																																																																										
